train_sample_id,utterance_id,transcript,emotion_4class,emotion_id,valence,arousal,dominance,session,speaker_id,duration,char_count,word_count,has_transcript
iemocap_train_00044,Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",happy,3,4.3333,3.3333,3.3333,Ses01,Ses01F,3.93,32,5,True
iemocap_train_00045,Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],happy,3,4.6667,4.0,3.0,Ses01,Ses01F,6.0099375,59,12,True
iemocap_train_00046,Ses01F_impro04_F000,"Uh, what? Craig's List? Oh the internet thing?",neutral,0,3.0,3.0,3.0,Ses01,Ses01F,4.3945,46,8,True
iemocap_train_00047,Ses01F_impro04_F001,I don't know. Isn't that-- that's all like escort services and things like that.,neutral,0,2.5,2.5,3.0,Ses01,Ses01F,4.405125,80,14,True
iemocap_train_00048,Ses01F_impro04_F005,He just...,neutral,0,3.0,2.0,2.5,Ses01,Ses01F,2.4095625,10,2,True
iemocap_train_00049,Ses01F_impro04_F006,you know what? I heard about that job. I applied for that.,neutral,0,3.0,3.5,3.5,Ses01,Ses01F,3.5565,58,12,True
iemocap_train_00050,Ses01F_impro04_F009,Yeah.,neutral,0,2.5,2.5,2.5,Ses01,Ses01F,1.3836875,5,1,True
iemocap_train_00051,Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neutral,0,3.0,3.5,3.5,Ses01,Ses01F,4.2368125,65,16,True
iemocap_train_00052,Ses01F_impro04_F014,Yeah.,neutral,0,2.5,3.0,2.5,Ses01,Ses01F,1.49,5,1,True
iemocap_train_00053,Ses01F_impro04_F028,I'm not frustrated.,angry,1,2.0,3.5,3.5,Ses01,Ses01F,2.0099375,19,3,True
iemocap_train_00054,Ses01F_impro04_F029,Who do you think you are?,angry,1,1.5,4.0,4.0,Ses01,Ses01F,3.1599375,25,6,True
iemocap_train_00055,Ses01F_impro04_F030,You are so high and mighty. I just--,angry,1,1.5,3.5,4.0,Ses01,Ses01F,3.1849375,36,8,True
iemocap_train_00056,Ses01F_impro04_F031,Oh. I'm saving the environment. I'm riding this car because I- I want to.,angry,1,1.5,3.0,3.5,Ses01,Ses01F,4.4,73,14,True
iemocap_train_00057,Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",angry,1,2.0,3.5,3.5,Ses01,Ses01F,2.8999375,46,10,True
iemocap_train_00058,Ses01F_impro04_F033,I can not-- you are not here by choice. Nobody would ride this bus by choice.,angry,1,1.5,3.5,4.5,Ses01,Ses01F,5.845,77,16,True
iemocap_train_00059,Ses01F_impro05_F008,Flight seven fourteen.,angry,1,2.5,2.5,3.5,Ses01,Ses01F,2.1199375,22,3,True
iemocap_train_00060,Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",angry,1,2.5,2.5,3.5,Ses01,Ses01F,7.3199375,90,18,True
iemocap_train_00061,Ses01F_impro05_F011,Is this a joke?,angry,1,2.0,4.5,3.5,Ses01,Ses01F,1.6675,15,4,True
iemocap_train_00062,Ses01F_impro05_F012,"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline.",angry,1,2.5,3.5,3.0,Ses01,Ses01F,5.1199375,90,14,True
iemocap_train_00063,Ses01F_impro05_F014,"You're kidding me, this is a joke.",angry,1,1.5,4.0,4.0,Ses01,Ses01F,3.3799375,34,7,True
iemocap_train_00064,Ses01F_impro05_F015,Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.,angry,1,1.5,4.5,4.5,Ses01,Ses01F,15.495,241,42,True
iemocap_train_00065,Ses01F_impro05_F016,We flew in from Paris. I've been shopping for three weeks.,angry,1,1.5,4.5,4.0,Ses01,Ses01F,3.91,58,11,True
iemocap_train_00066,Ses01F_impro05_F017,I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,angry,1,1.5,5.0,4.5,Ses01,Ses01F,9.365,146,24,True
iemocap_train_00067,Ses01F_impro05_F018,Do you understand who my husband is?,angry,1,1.5,4.0,4.0,Ses01,Ses01F,2.395,36,7,True
iemocap_train_00068,Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",angry,1,1.5,4.0,4.5,Ses01,Ses01F,5.3749375,77,14,True
iemocap_train_00069,Ses01F_impro05_F020,Oh-Oh. It's a gift. You're-You're helping me out here?,angry,1,1.5,4.5,4.5,Ses01,Ses01F,4.4349375,54,9,True
iemocap_train_00070,Ses01F_impro05_F021,You are cruising for a bruising. You are in so much trouble.,angry,1,1.5,4.5,4.5,Ses01,Ses01F,4.7599375,60,12,True
iemocap_train_00071,Ses01F_impro05_F022,Who's in charge? Who is the president of Jet Blue?,angry,1,1.5,4.5,4.0,Ses01,Ses01F,3.3874375,50,10,True
iemocap_train_00072,Ses01F_impro05_F023,Because I probably know him.,angry,1,2.0,3.0,4.0,Ses01,Ses01F,1.92,28,5,True
iemocap_train_00073,Ses01F_impro05_F024,Yeah.,angry,1,2.0,3.0,4.0,Ses01,Ses01F,1.3799375,5,1,True
iemocap_train_00074,Ses01F_impro05_F025,"I don't want money, I want my clothes.",angry,1,1.5,4.5,4.5,Ses01,Ses01F,3.1099375,38,8,True
iemocap_train_00075,Ses01F_impro05_F026,What's your name?,angry,1,2.0,3.5,3.5,Ses01,Ses01F,1.4875,17,3,True
iemocap_train_00076,Ses01F_impro05_F028,Okay. I'll do that.,angry,1,2.0,3.0,4.0,Ses01,Ses01F,2.1175,19,4,True
iemocap_train_00077,Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,angry,1,1.5,3.0,3.5,Ses01,Ses01F,3.9499375,89,18,True
iemocap_train_00078,Ses01F_impro05_F030,A letter? I'll make a personal phone call.,angry,1,2.0,3.0,3.5,Ses01,Ses01F,3.31,42,8,True
iemocap_train_00079,Ses01F_impro06_F002,No.,sad,2,2.0,1.5,2.5,Ses01,Ses01F,1.5799375,3,1,True
iemocap_train_00080,Ses01F_impro06_F003,That's sweet.,neutral,0,3.0,2.0,2.5,Ses01,Ses01F,1.33,13,2,True
iemocap_train_00081,Ses01F_impro06_F004,Thank you.,neutral,0,3.5,2.0,3.0,Ses01,Ses01F,1.97,10,2,True
iemocap_train_00082,Ses01F_impro06_F005,I went to see her headstone a week or two ago.,sad,2,2.0,2.0,4.0,Ses01,Ses01F,6.6875,46,11,True
iemocap_train_00083,Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died. I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad,2,3.5,3.0,4.0,Ses01,Ses01F,12.0399375,152,32,True
iemocap_train_00084,Ses01F_impro06_F007,So I was like wandering around before. It takes forever to find her headstone; I always lose it. You know.,sad,2,3.5,3.0,4.0,Ses01,Ses01F,8.0,106,20,True
iemocap_train_00085,Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone. And-,sad,2,2.5,3.5,3.5,Ses01,Ses01F,9.91,152,33,True
iemocap_train_00086,Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",neutral,0,2.5,3.0,3.5,Ses01,Ses01F,7.5799375,80,17,True
iemocap_train_00087,Ses01F_impro06_F010,"Yeah. And she was like, that's pathetic, I hope you enjoy it.",sad,2,2.0,2.5,3.5,Ses01,Ses01F,5.8399375,61,12,True
iemocap_train_00088,Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine. She was like, I would rather have her back, honestly.",sad,2,2.0,3.0,4.0,Ses01,Ses01F,15.0799375,199,45,True
iemocap_train_00089,Ses01F_impro06_F012,"I don't know. It just, like, I felt so bad because I shouldn't have done it. I don't know. Whatever.",sad,2,2.0,3.5,4.5,Ses01,Ses01F,8.97,100,20,True
iemocap_train_00090,Ses01F_impro06_F013,I don't know.,sad,2,2.0,2.0,2.0,Ses01,Ses01F,1.5325,13,3,True
iemocap_train_00091,Ses01F_impro06_F014,At the cemetery?,sad,2,3.0,3.0,2.5,Ses01,Ses01F,1.99,16,3,True
iemocap_train_00092,Ses01F_impro06_F015,couple hours.,sad,2,2.0,2.0,2.5,Ses01,Ses01F,2.9814375,13,2,True
iemocap_train_00093,Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day. We ran through the sprinklers.",neutral,0,4.0,3.0,3.5,Ses01,Ses01F,7.5975,106,20,True
iemocap_train_00094,Ses01F_impro06_F018,Yeah. It's huge. Redlands is an old city so they have lots and lots of stones.,neutral,0,4.0,3.0,3.5,Ses01,Ses01F,7.2,78,16,True
iemocap_train_00095,Ses01F_impro06_F019,Yeah.,neutral,0,2.5,2.0,2.5,Ses01,Ses01F,1.66,5,1,True
iemocap_train_00096,Ses01F_impro06_F020,"It's weird. Whenever I go back to town, I think of her. I mean, it's like ... I mean we grew up together and she died when we were twenty one. And yeah. She had cancer, she had two brain tumors.",sad,2,2.5,3.0,4.0,Ses01,Ses01F,15.17,194,41,True
iemocap_train_00097,Ses01F_impro06_F021,"My best friend Heather. She's got a- we have a- we built this like little-- There's a park, Prospect Park. And there is like a garden section of it that we set up for her.",sad,2,2.0,3.0,4.0,Ses01,Ses01F,16.5849375,171,35,True
iemocap_train_00098,Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,sad,2,4.0,3.0,3.5,Ses01,Ses01F,4.91,54,10,True
iemocap_train_00099,Ses01F_impro06_F023,Umm. Yeah.,sad,2,2.5,2.0,2.5,Ses01,Ses01F,4.0299375,10,2,True
iemocap_train_00100,Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",sad,2,1.5,2.0,3.0,Ses01,Ses01F,6.8999375,79,14,True
iemocap_train_00101,Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. It was cool.",sad,2,3.0,3.5,4.5,Ses01,Ses01F,18.9499375,293,62,True
iemocap_train_00102,Ses01F_impro06_F026,"Some, I guess. She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad,2,3.0,3.0,3.5,Ses01,Ses01F,8.7599375,87,16,True
iemocap_train_00103,Ses01F_impro06_F027,"There's another one, I can't remember.",neutral,0,2.0,2.0,3.5,Ses01,Ses01F,6.2199375,38,6,True
iemocap_train_00104,Ses01F_impro06_F028,"I remember, too, when we were-- she died at U.C.L.A. She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back. And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. All she needs is a God damn audience. You know?",sad,2,3.0,3.5,4.0,Ses01,Ses01F,29.1299375,428,84,True
iemocap_train_00105,Ses01F_impro07_F000,"Yes. There's a big envelope it says, you're in. I know.",happy,3,5.0,5.0,4.5,Ses01,Ses01F,6.6399375,55,11,True
iemocap_train_00106,Ses01F_impro07_F002,"I'm really excited. Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah. Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",happy,3,4.0,4.0,3.0,Ses01,Ses01F,12.0399375,208,39,True
iemocap_train_00107,Ses01F_impro07_F003,"Oh- I know, I know, I know, I know.",happy,3,4.5,4.5,4.5,Ses01,Ses01F,2.3799375,35,9,True
iemocap_train_00108,Ses01F_impro07_F004,"I don't know. I spend so much time commuting as it is, I'd rather.",happy,3,3.0,3.5,3.0,Ses01,Ses01F,5.3274375,66,14,True
iemocap_train_00109,Ses01F_impro07_F005,I know. We should throw a party.,happy,3,5.0,4.5,4.5,Ses01,Ses01F,2.93,32,7,True
iemocap_train_00110,Ses01F_impro07_F009,Yeah. I'm not sure.,happy,3,4.0,3.0,2.5,Ses01,Ses01F,2.2775,19,4,True
iemocap_train_00111,Ses01F_impro07_F010,Umm...P.h.D. [LAUGHTER],happy,3,5.0,4.5,4.0,Ses01,Ses01F,3.8,23,2,True
iemocap_train_00112,Ses01F_impro07_F012,So I get to mold young minds. Mrs.? That's my mother.,happy,3,4.5,4.0,3.5,Ses01,Ses01F,5.8799375,53,11,True
iemocap_train_00113,Ses01F_impro07_F013,"I would be like- Oh. Right, right, right.",happy,3,4.5,4.0,4.0,Ses01,Ses01F,7.2,41,8,True
iemocap_train_00114,Ses01F_impro07_F016,"I know. I made such a mess of it, the entire time. The last three things I've done, I've ruined everything, I think. Mm-hmm. Yeah.",happy,3,4.5,3.5,3.0,Ses01,Ses01F,9.05,130,25,True
iemocap_train_00115,Ses01F_script01_1_F005,"He's dreaming of him again, walking around.",neutral,0,2.0,1.6667,2.0,Ses01,Ses01F,4.9488125,43,7,True
iemocap_train_00116,Ses01F_script01_1_F015,"Well I got an idea, but what's your story?",neutral,0,3.0,2.3333,3.0,Ses01,Ses01F,4.4914375,42,9,True
iemocap_train_00117,Ses01F_script01_1_F034,Just give it some more thought.,neutral,0,2.3333,2.6667,2.3333,Ses01,Ses01F,2.7401875,31,6,True
iemocap_train_00118,Ses01F_script01_1_F035,What the hell is this?,angry,1,1.6667,3.6667,4.0,Ses01,Ses01F,2.8351875,22,5,True
iemocap_train_00119,Ses01F_script01_1_F037,You have a business here. What the hell is this?,angry,1,1.3333,4.3333,4.3333,Ses01,Ses01F,3.4699375,48,10,True
iemocap_train_00120,Ses01F_script01_1_F038,Oh. Must you be inspired?,angry,1,2.0,3.6667,3.6667,Ses01,Ses01F,2.8,25,5,True
iemocap_train_00121,Ses01F_script01_1_F041,"All right. But you don't want to think like that because what the hell are we working for, Chris? It's all for you. This whole shooting match is for you.",angry,1,1.6667,4.6667,4.3333,Ses01,Ses01F,9.7799375,153,30,True
iemocap_train_00122,Ses01F_script01_1_F042,Just don't think like that.,angry,1,2.0,4.0,3.6667,Ses01,Ses01F,3.07,27,5,True
iemocap_train_00123,Ses01F_script01_2_F003,He's not going to marry her.,angry,1,2.0,2.5,4.0,Ses01,Ses01F,3.0299375,28,6,True
iemocap_train_00124,Ses01F_script01_2_F004,It's got that about it.,angry,1,2.5,2.5,3.5,Ses01,Ses01F,1.9499375,23,5,True
iemocap_train_00125,Ses01F_script01_2_F005,"What is going on here, Joe?",angry,1,1.5,3.5,4.5,Ses01,Ses01F,3.75,27,6,True
iemocap_train_00126,Ses01F_script01_2_F006,She is not his girl. She knows she's not.,angry,1,1.5,4.0,4.5,Ses01,Ses01F,4.3899375,41,9,True
iemocap_train_00127,Ses01F_script01_2_F007,"Then why is she still single? New York is full of men, why is she still single? Probably a hundred people told her she's foolish, but she waited.",angry,1,1.5,4.5,4.5,Ses01,Ses01F,8.8899375,145,28,True
iemocap_train_00128,Ses01F_script01_2_F008,"Because she knows what I know, that's why. She's faithful as a rock. In my darkest moments, I think of her waiting and I know that I'm right.",angry,1,1.5,4.5,4.5,Ses01,Ses01F,10.7799375,141,28,True
iemocap_train_00129,Ses01F_script01_2_F009,"Nobody in this house dares take away her faith, Joe. You know strangers might, but not his father, not his brother.",angry,1,1.5,2.0,4.5,Ses01,Ses01F,9.1599375,115,21,True
iemocap_train_00130,Ses01F_script01_2_F010,"I want you to-- I want you to act like he is coming back, both of you. Don't think I haven't noticed you since Chris invited her here.",angry,1,1.5,3.5,4.5,Ses01,Ses01F,9.81,134,28,True
iemocap_train_00131,Ses01F_script01_2_F011,I won't stand for any nonsense.,angry,1,1.5,3.5,4.5,Ses01,Ses01F,3.5,31,6,True
iemocap_train_00132,Ses01F_script01_2_F012,"Because if he's not coming back, I'll kill myself. Oh laugh, laugh all you like but why does this happen the very night he comes back. She goes to sleep in his room and his memorial breaks in pieces. Look at it, Joe, look.",angry,1,1.5,4.5,5.0,Ses01,Ses01F,14.14,222,44,True
iemocap_train_00133,Ses01F_script01_2_F013,"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry. Believe with me. You, above all, have got to believe. Just believe.",angry,1,1.0,4.5,5.0,Ses01,Ses01F,10.2099375,163,30,True
iemocap_train_00134,Ses01F_script01_3_F000,You're the only one who still loves his parents.,neutral,0,4.0,1.6667,2.3333,Ses01,Ses01F,4.0958125,48,9,True
iemocap_train_00135,Ses01F_script01_3_F001,It's not so bad; it's a good thing.,neutral,0,4.3333,2.0,2.3333,Ses01,Ses01F,4.698875,35,8,True
iemocap_train_00136,Ses01F_script01_3_F002,"[BREATHING] You know, it's lovely here. The air is sweet.",neutral,0,3.3333,2.0,2.3333,Ses01,Ses01F,8.96075,57,10,True
iemocap_train_00137,Ses01F_script01_3_F003,"I'm not sorry, no. But I'm...I can't stay.",neutral,0,3.0,1.3333,2.3333,Ses01,Ses01F,7.8244375,42,8,True
iemocap_train_00138,Ses01F_script01_3_F004,"For one thing, your mother much as told me to go.",neutral,0,3.3333,2.6667,2.6667,Ses01,Ses01F,3.28,49,11,True
iemocap_train_00139,Ses01F_script01_3_F005,"And then, you. You've been kind of...",neutral,0,3.3333,2.0,1.6667,Ses01,Ses01F,4.5099375,37,7,True
iemocap_train_00140,Ses01F_script01_3_F006,Sort of embarrassed ever since I got here.,neutral,0,3.0,2.3333,2.3333,Ses01,Ses01F,4.8830625,42,8,True
iemocap_train_00141,Ses01F_script01_3_F007,I knew they would.,neutral,0,2.6667,1.3333,2.3333,Ses01,Ses01F,2.8843125,18,4,True
iemocap_train_00142,Ses01F_script01_3_F008,"Well sure, from your mother's point of view. Why else would I come?",neutral,0,3.6667,2.6667,3.0,Ses01,Ses01F,6.27,67,13,True
iemocap_train_00143,Ses01F_script01_3_F009,"I, umm. I guess, I guess that's kind of why I came.",neutral,0,4.0,3.0,2.0,Ses01,Ses01F,7.0599375,51,12,True
iemocap_train_00144,Ses01F_script01_3_F010,[BREATHING],happy,3,4.6667,3.6667,2.3333,Ses01,Ses01F,1.402625,11,1,True
iemocap_train_00145,Ses01F_script01_3_F011,[LAUGHTER],happy,3,4.6667,4.0,2.6667,Ses01,Ses01F,2.7724375,10,1,True
iemocap_train_00146,Ses01F_script01_3_F012,[LAUGHTER],happy,3,5.0,4.3333,2.3333,Ses01,Ses01F,5.1474375,10,1,True
iemocap_train_00147,Ses01F_script01_3_F013,No. No,happy,3,4.3333,3.3333,2.3333,Ses01,Ses01F,1.8,6,2,True
iemocap_train_00148,Ses01F_script01_3_F014,"Chris, I've been ready a long, long, time.",neutral,0,3.0,2.6667,3.0,Ses01,Ses01F,4.9174375,42,8,True
iemocap_train_00149,Ses01F_script01_3_F015,I almost got married two years ago.,neutral,0,3.0,2.0,2.3333,Ses01,Ses01F,3.6044375,35,7,True
iemocap_train_00150,Ses01F_script01_3_F016,You started to write me.,neutral,0,2.6667,1.6667,1.6667,Ses01,Ses01F,2.988625,24,5,True
iemocap_train_00151,Ses01F_script01_3_F017,Every day since.,happy,3,4.3333,3.0,2.6667,Ses01,Ses01F,2.17,16,3,True
iemocap_train_00152,Ses01F_script01_3_F019,beating around the bush.,happy,3,4.3333,4.0,3.3333,Ses01,Ses01F,2.7699375,24,4,True
iemocap_train_00153,Ses01F_script01_3_F020,"I will never forgive you. All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",happy,3,4.3333,3.6667,3.6667,Ses01,Ses01F,7.471,136,26,True
iemocap_train_00154,Ses01F_script01_3_F021,Not like that you're not.,happy,3,4.0,2.3333,3.0,Ses01,Ses01F,2.7549375,25,5,True
iemocap_train_00155,Ses01F_script01_3_F022,"Like Larry's brother. Do it like you, Chris.",neutral,0,3.3333,1.6667,3.0,Ses01,Ses01F,5.37,44,8,True
iemocap_train_00156,Ses01F_script01_3_F028,"Yeah, sure.",neutral,0,2.6667,2.3333,1.6667,Ses01,Ses01F,2.5299375,11,2,True
iemocap_train_00157,Ses01F_script01_3_F029,How many?,neutral,0,2.3333,2.0,2.0,Ses01,Ses01F,2.2325,9,2,True
iemocap_train_00158,Ses01F_script01_3_F030,"Aw, geez.",sad,2,1.6667,2.3333,1.3333,Ses01,Ses01F,2.6,9,2,True
iemocap_train_00159,Ses01F_script01_3_F031,Mmhmm.,neutral,0,2.0,1.0,1.3333,Ses01,Ses01F,1.56,6,1,True
iemocap_train_00160,Ses01F_script01_3_F035,What would I do with a fortune?,happy,3,4.0,2.0,2.3333,Ses01,Ses01F,3.49,31,7,True
iemocap_train_00161,Ses01F_script02_1_F000,Fine.,neutral,0,2.5,2.0,2.0,Ses01,Ses01F,2.07,5,1,True
iemocap_train_00162,Ses01F_script02_1_F004,That's not your flashlight.,neutral,0,2.0,3.0,3.0,Ses01,Ses01F,2.18,27,4,True
iemocap_train_00163,Ses01F_script02_1_F006,You keep saying my flashlight like it's just yours.,angry,1,2.0,3.5,3.0,Ses01,Ses01F,2.97,51,9,True
